,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,2号线,东莞火车站,2000 0,BV10525640,113.86,23.0886,900000039053,0,1
1,0,2号线,茶山,1763 0,BV10525641,113.844,23.0795,900000039053,0,1
2,0,2号线,榴花公园,1534 0,BV10525633,113.814,23.0803,900000039053,0,1
3,0,2号线,下桥,1349 101,BV10525632,113.788,23.0628,900000039053,0,1
4,0,2号线,天宝,1191 259,BV10525631,113.779,23.0473,900000039053,0,1
5,0,2号线,东城,1037 413,BV10525642,113.776,23.0327,900000039053,0,1
6,0,2号线,旗峰公园,884 563,BV10525634,113.768,23.02,900000039053,0,1
7,0,2号线,鸿福路,730 725,BV10525629,113.76,23.0113,900000039053,0,1
8,0,2号线,西平,576 884,BV10525630,113.747,22.9939,900000039053,0,1
9,0,2号线,蛤地,422 1037,BV10525636,113.729,22.9781,900000039053,0,1
10,0,2号线,陈屋,259 1191,BV10525638,113.69,22.9577,900000039053,0,1
11,0,2号线,寮厦,106 1349,BV10525643,113.674,22.941,900000039053,0,1
12,0,2号线,珊美,0 1512,BV10525635,113.664,22.9262,900000039053,0,1
13,0,2号线,展览中心,0 1736,BV10525639,113.662,22.9024,900000039053,0,1
14,0,2号线,虎门火车站,84 1921,BV10525628,113.672,22.8593,900000039053,0,1
